id,type,title,url,word_count,city,service,severity,problem,notes
13923,page,المدونة,https://rukn-eltatawer.com/bh/blog/,7,,المدونة,حرج,محتوى ضعيف (Thin),[محتوى ضعيف (Thin)] عدد الكلمات 7 وهو أقل من 1000.
3395,page,Contact us — Bahrain,https://rukn-eltatawer.com/bh/contact-us-en/,50,,Contact us — Bahrain,حرج,محتوى ضعيف (Thin) | عدم توافق نية البحث,[محتوى ضعيف (Thin)] عدد الكلمات 50 وهو أقل من 1000. || [عدم توافق نية البحث] صفحة إنجليزية رقيقة مقابل مقالات عربية طويلة — لا تغطي نية البحث المحلية.
3393,page,Cities we cover in Bahrain,https://rukn-eltatawer.com/bh/cities-en/,57,,Cities we cover in Bahrain,حرج,محتوى ضعيف (Thin) | عدم توافق نية البحث,[محتوى ضعيف (Thin)] عدد الكلمات 57 وهو أقل من 1000. || [عدم توافق نية البحث] صفحة إنجليزية رقيقة مقابل مقالات عربية طويلة — لا تغطي نية البحث المحلية.
3383,page,سياسة الخصوصية — ركن التطور البحرين,https://rukn-eltatawer.com/bh/privacy-policy-bahrain/,69,,سياسة الخصوصية — ركن التطور البحرين,حرج,محتوى ضعيف (Thin),[محتوى ضعيف (Thin)] عدد الكلمات 69 وهو أقل من 1000.
3391,page,Home services in Bahrain,https://rukn-eltatawer.com/bh/services-en/,80,,Home services in Bahrain,حرج,محتوى ضعيف (Thin) | عدم توافق نية البحث,[محتوى ضعيف (Thin)] عدد الكلمات 80 وهو أقل من 1000. || [عدم توافق نية البحث] صفحة إنجليزية رقيقة مقابل مقالات عربية طويلة — لا تغطي نية البحث المحلية.
3397,page,About Rukn Al Tatawor in Bahrain,https://rukn-eltatawer.com/bh/about-us-en/,81,,About Rukn Al Tatawor in Bahrain,حرج,محتوى ضعيف (Thin) | عدم توافق نية البحث,[محتوى ضعيف (Thin)] عدد الكلمات 81 وهو أقل من 1000. || [عدم توافق نية البحث] صفحة إنجليزية رقيقة مقابل مقالات عربية طويلة — لا تغطي نية البحث المحلية.
3385,page,خدمات ركن التطور في البحرين,https://rukn-eltatawer.com/bh/our-services/,84,,خدمات ركن التطور في البحرين,حرج,محتوى ضعيف (Thin) | عدم توافق نية البحث,[محتوى ضعيف (Thin)] عدد الكلمات 84 وهو أقل من 1000. || [عدم توافق نية البحث] صفحة خدمات قصيرة لا تطابق نية الاستعلام التجاري التفصيلي.
3381,page,من نحن — ركن التطور البحرين,https://rukn-eltatawer.com/bh/about-us/,123,,من نحن — ركن التطور البحرين,حرج,محتوى ضعيف (Thin),[محتوى ضعيف (Thin)] عدد الكلمات 123 وهو أقل من 1000.
3387,page,مدن البحرين التي نغطيها,https://rukn-eltatawer.com/bh/cities/,125,,مدن البحرين التي نغطيها,حرج,محتوى ضعيف (Thin),[محتوى ضعيف (Thin)] عدد الكلمات 125 وهو أقل من 1000.
3379,page,تواصل معنا — ركن التطور البحرين,https://rukn-eltatawer.com/bh/contact-us/,127,,تواصل معنا — ركن التطور البحرين,حرج,محتوى ضعيف (Thin) | عدم توافق نية البحث,[محتوى ضعيف (Thin)] عدد الكلمات 127 وهو أقل من 1000. || [عدم توافق نية البحث] صفحة تواصل بلا نموذج/تفاصيل كافية لنية «التواصل».
3389,page,Rukn Al Tatawor Bahrain — Home Services,https://rukn-eltatawer.com/bh/home-services-bahrain/,131,,Rukn Al Tatawor Bahrain — Home Services,حرج,محتوى ضعيف (Thin) | عدم توافق نية البحث,[محتوى ضعيف (Thin)] عدد الكلمات 131 وهو أقل من 1000. || [عدم توافق نية البحث] صفحة إنجليزية رقيقة مقابل مقالات عربية طويلة — لا تغطي نية البحث المحلية.
937,post,شركة تركيب عشب صناعي في البديع,https://rukn-eltatawer.com/bh/artificial-grass-grdn-budaiya/,1826,البديع,تركيب عشب صناعي في,حرج,قالب هيكلي مكرر (Doorway) | تآكل كلمات مفتاحية / Cannibalization | أخطاء/عناصر SEO مفقودة,[قالب هيكلي مكرر (Doorway)] نفس قالب العنوان «شركة تركيب عشب صناعي في {CITY}» يظهر في 16 مقالاً (تبديل المدينة فقط). || [تآكل كلمات مفتاحية / Cannibalization] عنوان مطابق حرفياً على أكثر من رابط في نفس المدينة/الخدمة. أبقِ واحداً وحوّل الباقي 301. الأخرى: https://rukn-eltatawer.com/bh/artificial-grass-budaiya/ || [أخطاء/عناصر SEO مفقودة] H2 مكررة داخل المقال: «هل تعملون في البديع وسار القريبة؟» ×2؛ «هل تغطون أحياء البديع مثل البديع؟» ×2؛ «لماذا لا يُثبت السعر من الرسالة؟» ×2؛ «كيف أتواصل؟» ×2. لا توجد صورة بارزة في ووردبريس (featured_media=0)؛ صورة المحتوى مكررة عبر الموقع.
793,post,شركة تركيب عشب جداري في البديع,https://rukn-eltatawer.com/bh/grass-wall-budaiya/,1843,البديع,تركيب عشب جداري في,حرج,إفراط في القالب / Boilerplate | قالب هيكلي مكرر (Doorway) | تآكل كلمات مفتاحية / Cannibalization | أخطاء/عناصر SEO مفقودة,[إفراط في القالب / Boilerplate] 46% من الفقرات مكررة عبر عشرات المقالات بعد استبدال اسم المدينة. || [قالب هيكلي مكرر (Doorway)] نفس قالب العنوان «شركة تركيب عشب جداري في {CITY}» يظهر في 16 مقالاً (تبديل المدينة فقط). || [تآكل كلمات مفتاحية / Cannibalization] عنوان مطابق حرفياً على أكثر من رابط في نفس المدينة/الخدمة. أبقِ واحداً وحوّل الباقي 301. الأخرى: https://rukn-eltatawer.com/bh/wall-grass-budaiya/ || [أخطاء/عناصر SEO مفقودة] H2 مكررة داخل المقال: «هل تزورون أكثر من مرة؟» ×3؛ «هل يوجد ضمان مكتوب؟» ×3؛ «هل تناسب الشقق والفلل في البديع؟» ×2؛ «متى تكون الحالة طارئة في البديع؟» ×2. لا توجد صورة بارزة في ووردبريس (featured_media=0)؛ صورة المحتوى مكررة عبر الموقع.
